"Gender","Suspicious","Betrayed","Worried","Distrustful","Jealousy","Rejected","Hurt","Anxious","Angry","Threatened","Sad","Upset","Attractiveness_check1","Attractiveness_check2","Assertiveness","Self_confidence","Extroverted","Influential","Socially_competent","Good_judge_of_character","Attractive_not_dominant_woman","Unattractive_dominant_woman","Attractive_dominant_woman","Unattractive_not_dominant_woman","Attractive_not_dominant_man","Unattractive_dominant_man","Attractive_dominant_man","Unattractive_not_dominant_man","Mate_value1","Mate_value2","Mate_value3","Mate_value4","Mate_value5","Mate_value6","Sample","Attractive_condition","Dominant_condition","ID"
1,5,3,3,3,3,3,3,3,3,3,3,3,7,7,1,4,3,4,4,4,NA,NA,NA,NA,NA,1,NA,NA,6,6,6,4,5,5,"Online","Not Attractive","Dominant",1
1,3,2,2,3,4,4,4,4,3,3,4,4,5,3,3,3,3,4,4,2,NA,NA,NA,NA,NA,1,NA,NA,2,1,1,1,1,1,"Online","Not Attractive","Dominant",2
2,4,4,2,4,5,5,4,4,5,3,2,4,3,5,5,5,4,5,4,5,NA,NA,1,NA,NA,NA,NA,NA,7,7,6,6,7,7,"Online","Attractive","Dominant",3
1,4,4,3,2,4,3,2,2,2,2,2,2,6,7,3,3,3,3,4,3,NA,NA,NA,NA,1,NA,NA,NA,5,3,3,3,5,2,"Online","Attractive","Not Dominant",4
1,2,1,2,2,2,1,1,2,2,1,1,2,5,5,2,2,2,1,4,4,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,2,2,"Online","Not Attractive","Not Dominant",5
1,3,2,2,2,3,2,3,2,3,2,2,2,3,4,3,4,4,2,3,3,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,5,4,"Online","Attractive","Dominant",6
2,3,2,2,2,2,2,2,2,1,2,2,2,3,4,2,2,4,3,2,1,1,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,4,"Online","Attractive","Not Dominant",7
1,2,1,2,1,2,1,2,2,1,1,1,2,6,6,4,4,5,5,5,3,NA,NA,NA,NA,NA,1,NA,NA,3,3,2,2,5,2,"Online","Not Attractive","Dominant",8
2,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,4,2,1,1,3,NA,NA,NA,1,NA,NA,NA,NA,4,3,3,3,3,4,"Online","Not Attractive","Not Dominant",9
1,1,1,1,1,1,1,1,2,2,1,1,1,5,5,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,1,NA,4,5,3,2,5,2,"Online","Attractive","Dominant",10
1,4,5,4,3,3,4,3,5,2,4,3,3,4,2,3,3,3,3,3,3,NA,NA,NA,NA,1,NA,NA,NA,5,1,1,1,1,1,"Online","Attractive","Not Dominant",11
1,5,5,5,5,4,5,5,4,4,2,4,5,7,6,4,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,1,7,7,4,3,7,1,"Online","Not Attractive","Not Dominant",12
1,4,2,2,3,5,3,3,4,2,4,2,3,6,4,3,4,4,5,4,3,NA,NA,NA,NA,NA,1,NA,NA,3,2,2,1,3,1,"Online","Not Attractive","Dominant",13
1,5,5,5,5,5,3,4,5,5,3,4,4,6,6,2,2,2,2,4,4,NA,NA,NA,NA,1,NA,NA,NA,3,5,3,1,5,1,"Online","Attractive","Not Dominant",14
